step,cumulative_reward,queue_length
121500,-22066.0,2.138
122000,-1271.0,12.83838383838384
122500,-2944.0,3.346
123000,-3217.0,0.546
123500,-4595.0,2.756
124000,-5752.0,2.314
124500,-6770.0,2.036
125000,-7991.0,2.442
125500,-8558.0,1.134
126000,-10707.0,4.298
126500,-11388.0,1.362
127000,-12365.0,1.954
127500,-13332.0,1.934
128000,-14058.0,1.452
128500,-15258.0,2.4
129000,-16266.0,2.016
129500,-18268.0,4.004
130000,-19354.0,2.172
130500,-20309.0,1.91
131000,-21046.0,1.474
131500,-21779.0,1.466
132000,-1458.0,12.678260869565218
132500,-3088.0,3.26
133000,-3591.0,1.006
133500,-4474.0,1.766
134000,-5526.0,2.104
134500,-6427.0,1.802
135000,-6805.0,0.756
135500,-7847.0,2.084
136000,-10039.0,4.384
136500,-10899.0,1.72
137000,-11800.0,1.802
137500,-12819.0,2.038
138000,-13539.0,1.44
138500,-14901.0,2.724
139000,-15787.0,1.772
139500,-17912.0,4.25
140000,-18892.0,1.96
140500,-19973.0,2.162
141000,-20861.0,1.776
141500,-21790.0,1.858
142000,-1362.0,12.728971962616823
142500,-2892.0,3.06
143000,-3157.0,0.53
143500,-4497.0,2.68
144000,-5550.0,2.106
144500,-6674.0,2.248
145000,-7961.0,2.574
145500,-8666.0,1.41
146000,-10941.0,4.55
146500,-11682.0,1.482
147000,-12538.0,1.712
147500,-13628.0,2.18
148000,-14407.0,1.558
148500,-14890.0,0.966
149000,-15870.0,1.96
149500,-17914.0,4.088
150000,-19038.0,2.248
150500,-19992.0,1.908
151000,-20828.0,1.672
151500,-21799.0,1.942
152000,-1271.0,12.83838383838384
152500,-2910.0,3.278
153000,-3136.0,0.452
153500,-4337.0,2.402
154000,-5640.0,2.606
154500,-6568.0,1.856
155000,-7912.0,2.688
155500,-8707.0,1.59
156000,-10999.0,4.584
156500,-12012.0,2.026
157000,-12854.0,1.684
157500,-13905.0,2.102
158000,-14782.0,1.754
158500,-15252.0,0.94
159000,-15386.0,0.268
159500,-17549.0,4.326
160000,-17907.0,0.716
160500,-19195.0,2.576
161000,-20435.0,2.48
161500,-21643.0,2.416
162000,-154.0,10.266666666666667
162500,-2881.0,5.454
163000,-3297.0,0.832
163500,-4438.0,2.282
164000,-5596.0,2.316
164500,-6572.0,1.952
165000,-7896.0,2.648
165500,-8480.0,1.168
166000,-10778.0,4.596
166500,-11270.0,0.984
167000,-12078.0,1.616
167500,-13531.0,2.906
168000,-14584.0,2.106
168500,-15885.0,2.602
169000,-16671.0,1.572
169500,-18642.0,3.942
170000,-19244.0,1.204
170500,-19843.0,1.198
171000,-20811.0,1.936
171500,-21959.0,2.296
172000,-23420.0,2.922
172500,-2556.0,8.968421052631578
173000,-3095.0,1.078
173500,-3578.0,0.966
174000,-4585.0,2.014
174500,-5936.0,2.702
175000,-6942.0,2.012
175500,-7587.0,1.29
