step,cumulative_reward,queue_length
121000,-1168.0,12.835164835164836
121500,-2973.0,3.61
122000,-3141.0,0.336
122500,-4328.0,2.374
123000,-5690.0,2.724
123500,-6597.0,1.814
124000,-8104.0,3.014
124500,-8842.0,1.476
125000,-10941.0,4.198
125500,-11798.0,1.714
126000,-12609.0,1.622
126500,-13665.0,2.112
127000,-14382.0,1.434
127500,-14751.0,0.738
128000,-14917.0,0.332
128500,-17096.0,4.358
129000,-17402.0,0.612
129500,-18300.0,1.796
130000,-19679.0,2.758
130500,-20754.0,2.15
131000,-22123.0,2.738
131500,-2724.0,5.722689075630252
132000,-3205.0,0.962
132500,-4278.0,2.146
133000,-5528.0,2.5
133500,-6479.0,1.902
134000,-7961.0,2.964
134500,-8846.0,1.77
135000,-10854.0,4.016
135500,-11929.0,2.15
136000,-12865.0,1.872
136500,-13520.0,1.31
137000,-14485.0,1.93
137500,-14937.0,0.904
138000,-15914.0,1.954
138500,-18458.0,5.088
139000,-19061.0,1.206
139500,-20179.0,2.236
140000,-20718.0,1.078
140500,-22069.0,2.702
141000,-22809.0,1.48
141500,-2718.0,5.686192468619247
142000,-3103.0,0.77
142500,-4166.0,2.126
143000,-5417.0,2.502
143500,-6262.0,1.69
144000,-7610.0,2.696
144500,-8347.0,1.474
145000,-10160.0,3.626
145500,-11196.0,2.072
146000,-12187.0,1.982
146500,-12901.0,1.428
147000,-13773.0,1.744
147500,-15055.0,2.564
148000,-16260.0,2.41
148500,-18323.0,4.126
149000,-19376.0,2.106
149500,-20292.0,1.832
150000,-20851.0,1.118
150500,-22063.0,2.424
151000,-23393.0,2.66
151500,-2629.0,6.45945945945946
152000,-3043.0,0.828
152500,-3905.0,1.724
153000,-5128.0,2.446
153500,-6047.0,1.838
154000,-7587.0,3.08
154500,-8777.0,2.38
155000,-10729.0,3.904
155500,-11674.0,1.89
156000,-12492.0,1.636
156500,-12923.0,0.862
157000,-14126.0,2.406
157500,-14945.0,1.638
158000,-15413.0,0.936
158500,-17682.0,4.538
159000,-18126.0,0.888
159500,-18334.0,0.416
160000,-19651.0,2.634
160500,-20940.0,2.578
161000,-21749.0,1.618
161500,-2637.0,6.416058394160584
162000,-3559.0,1.844
162500,-4584.0,2.05
163000,-5443.0,1.718
163500,-6478.0,2.07
164000,-7456.0,1.956
164500,-7789.0,0.666
165000,-9980.0,4.382
165500,-10855.0,1.75
166000,-11566.0,1.422
166500,-11987.0,0.842
167000,-13262.0,2.55
167500,-14055.0,1.586
168000,-14402.0,0.694
168500,-16620.0,4.436
169000,-17191.0,1.142
169500,-17467.0,0.552
170000,-18810.0,2.686
170500,-19993.0,2.366
171000,-20861.0,1.736
171500,-2663.0,6.28066037735849
172000,-3319.0,1.312
172500,-4246.0,1.854
173000,-5152.0,1.812
173500,-5964.0,1.624
174000,-6458.0,0.988
174500,-6824.0,0.732
175000,-9015.0,4.382
175500,-9920.0,1.81
176000,-10825.0,1.81
176500,-11381.0,1.112
177000,-12739.0,2.716
177500,-13938.0,2.398
178000,-14464.0,1.052
178500,-16330.0,3.732
179000,-17032.0,1.404
179500,-17803.0,1.542
180000,-18636.0,1.666
180500,-19924.0,2.576
181000,-20680.0,1.512
181500,-2647.0,6.362980769230769
182000,-3503.0,1.712
182500,-4643.0,2.28
183000,-5653.0,2.02
183500,-6667.0,2.028
184000,-7553.0,1.772
184500,-7877.0,0.648
185000,-10702.0,5.65
185500,-11424.0,1.444
186000,-12041.0,1.234
186500,-12472.0,0.862
187000,-13902.0,2.86
187500,-14785.0,1.766
188000,-15433.0,1.296
188500,-17477.0,4.088
189000,-18121.0,1.288
189500,-19300.0,2.358
190000,-20561.0,2.522
190500,-21601.0,2.08
191000,-22988.0,2.774
191500,-2567.0,7.48396501457726
192000,-3261.0,1.388
192500,-4135.0,1.748
193000,-4844.0,1.418
193500,-5961.0,2.234
194000,-6993.0,2.064
194500,-7350.0,0.714
195000,-9348.0,3.996
195500,-10023.0,1.35
196000,-10551.0,1.056
196500,-11234.0,1.366
197000,-12515.0,2.562
197500,-13902.0,2.774
198000,-14796.0,1.788
198500,-16485.0,3.378
199000,-17718.0,2.466
199500,-18577.0,1.718
200000,-19589.0,2.024
200500,-20615.0,2.052
201000,-22282.0,3.334
