step,queue_length,average_speed,cumulative_reward,throughput,waiting_time
116,23,20.289526102956472,-22952.0,8,448.6
117,22,18.847928830516064,-23172.0,9,467.4
118,24,19.24690335451473,-23402.0,9,486.4
119,22,16.008311865277136,-23625.0,9,505.4
120,24,16.64039387944397,-23861.0,9,524.4
121,23,16.363025326378736,-24083.0,9,543.4
122,22,15.010116047588227,-24314.0,9,562.4
123,24,16.56362387758044,-24544.0,9,581.4
124,23,15.619037320625411,-24775.0,9,600.4
125,23,15.072594932537164,-25008.0,9,620.0
126,24,16.72606533789969,-25237.0,9,640.0
127,25,17.194195482715006,-25491.0,9,660.0
128,25,16.544030604096687,-25742.0,9,680.0
129,23,14.263412730573918,-25981.0,9,700.0
130,23,15.202025738594727,-26218.0,9,720.0
131,22,13.249453423739022,-26438.0,9,740.0
132,22,11.466123825276885,-26658.0,10,760.0
133,22,11.61369115393483,-26878.0,10,498.9
134,22,9.510143071201348,-27103.0,10,517.9
135,23,13.514342597364573,-27321.0,10,536.9
136,24,13.202380005893195,-27552.0,10,555.9
137,26,13.886525879958674,-27806.0,10,574.9
138,24,14.26808755742587,-28046.0,11,593.9
139,25,16.52326836380907,-28288.0,11,612.9
140,23,16.48632207459675,-28523.0,11,631.9
141,26,18.250039097214433,-28766.0,11,651.6
142,24,18.650308475093635,-29011.0,11,671.6
143,25,18.09689188606508,-29255.0,11,691.6
144,26,19.04896464403725,-29495.0,11,711.6
145,27,18.352587410822014,-29766.0,12,731.6
146,27,18.415374020096696,-30021.0,12,751.6
147,25,16.87035335345986,-30283.0,12,771.6
148,27,18.695168939779332,-30542.0,12,792.5
149,26,17.873686504654426,-30804.0,12,814.5
150,27,16.928932006981682,-31069.0,12,836.5
151,27,17.09263773552947,-31335.0,13,858.5
152,25,15.311742038448042,-31589.0,13,880.5
153,27,17.214859996780582,-31853.0,13,902.5
154,26,16.374503946929458,-32114.0,13,924.5
155,25,14.407579382001236,-32370.0,13,946.5
156,25,13.54972646210822,-32620.0,13,968.5
157,25,13.06518713254799,-32874.0,13,991.3
158,26,12.606985484830108,-33127.0,13,1014.3
159,26,13.681469311021532,-33389.0,13,1037.3
160,25,12.236252710913265,-33643.0,13,1060.3
161,25,9.863885289692181,-33893.0,14,1083.3
162,25,10.91535486369255,-34146.0,14,1106.3
163,27,12.106073961728049,-34400.0,14,1129.3
164,27,13.252990438617129,-34671.0,15,1152.3
165,26,12.039116716857896,-34931.0,15,1175.3
166,27,10.959908195241274,-35200.0,15,906.1
167,30,10.868946219075637,-35498.0,15,925.9
168,28,12.70323108658347,-35772.0,15,947.5
169,30,14.146837948878202,-36066.0,15,969.5
170,28,14.084138869773504,-36358.0,15,991.5
171,29,16.65223706846402,-36650.0,16,1013.5
172,28,16.774613245059367,-36938.0,16,1035.5
173,29,16.117581082750718,-37225.0,17,1058.5
174,28,17.04211525352221,-37512.0,17,1081.5
175,28,17.575341455968598,-37798.0,17,1104.5
176,28,17.745539450232325,-38080.0,17,1127.5
177,28,17.334874893432367,-38360.0,17,1150.5
178,27,18.108203863293106,-38636.0,18,1173.5
179,27,17.51077061635773,-38908.0,18,1196.5
180,27,15.87422543438447,-39178.0,18,1219.5
181,29,18.498314390041287,-39471.0,18,1242.5
182,29,15.737591391782553,-39761.0,20,1265.5
183,30,14.822788825742593,-40052.0,20,1288.5
184,28,15.660294437394883,-40334.0,20,1311.5
185,27,13.131376313817569,-40613.0,21,1334.5
186,28,14.833966576365842,-40886.0,21,1357.5
187,29,15.44597437520358,-41165.0,21,1380.5
188,28,14.10626254015214,-41445.0,21,1403.5
189,28,14.746699169535374,-41726.0,21,1427.5
190,29,14.162485929948827,-42008.0,21,1451.5
191,28,13.139107844485308,-42289.0,22,1475.5
192,27,10.447742271738859,-42561.0,23,1499.5
193,28,10.834221524083283,-42835.0,23,1523.5
194,28,12.290481693806408,-43109.0,23,1547.5
195,28,11.837983494857493,-43383.0,23,1571.5
196,28,11.13020893143924,-43662.0,23,1595.5
197,27,10.72167871293472,-43941.0,23,1619.5
198,27,9.691796121601142,-44209.0,23,1643.5
199,29,10.291599931742795,-44499.0,23,877.6
200,27,9.77096487253402,-44787.0,23,468.9
201,27,10.692471989354868,-45055.0,23,294.8
202,23,13.893883180184872,-45308.0,23,302.8
203,23,16.1030515992775,-45538.0,23,311.2
204,21,18.928317708948605,-45754.0,23,320.2
205,22,21.756400918701377,-45971.0,23,329.3
206,20,24.082109955801023,-46179.0,23,339.3
207,17,24.869794175688398,-46364.0,23,349.3
208,18,26.61285629305683,-46538.0,23,359.3
209,16,26.015035779650667,-46704.0,24,369.3
210,15,27.54683511522089,-46859.0,24,379.3
211,14,25.98098550108399,-47009.0,24,389.3
212,15,24.8424192946112,-47153.0,24,399.3
213,15,26.924622712901048,-47303.0,24,409.3
214,14,26.603978061221575,-47451.0,24,419.3
215,16,26.25375780041796,-47601.0,24,429.3
216,15,27.083283300329914,-47756.0,24,439.3
217,16,27.63654611194792,-47919.0,24,449.3
218,17,28.174788361096553,-48081.0,24,459.3
219,15,26.897298967767792,-48239.0,24,469.3
220,15,25.79769972305528,-48393.0,24,479.3
221,14,25.35361338431041,-48540.0,24,489.3
222,16,25.507307947770965,-48693.0,25,499.3
223,14,25.946994089743878,-48840.0,25,509.3
224,16,25.789532924617827,-48992.0,25,519.3
225,14,24.263331000199198,-49140.0,25,529.3
226,15,24.610094673833963,-49290.0,25,539.3
227,14,23.889399509822603,-49436.0,25,549.3
228,15,25.101766784435924,-49589.0,25,559.3
229,15,24.874057565969736,-49731.0,25,569.3
230,14,25.614601340986688,-49878.0,26,579.3
231,15,22.79469199924916,-50026.0,26,589.3
232,17,20.95447707718518,-50193.0,26,316.4
233,16,20.08074015084852,-50368.0,26,325.09999999999997
234,18,21.07115273896445,-50540.0,26,334.09999999999997
235,20,21.598048772067294,-50739.0,26,343.09999999999997
236,22,22.309076763220876,-50954.0,26,352.09999999999997
237,24,23.138106257240267,-51174.0,26,362.5
238,22,23.08195488264144,-51411.0,26,374.4
239,24,22.62705686644027,-51647.0,26,386.5
240,23,20.697149981292277,-51873.0,26,400.0
241,22,21.202170690711682,-52106.0,26,414.09999999999997
242,24,20.85255787541292,-52342.0,26,429.4
243,23,21.35311197634936,-52578.0,27,445.4
244,23,21.12566198690697,-52808.0,27,462.3
245,22,18.17306794106485,-53028.0,27,480.3
246,23,18.89735196944134,-53256.0,27,499.0
247,22,16.81318564065701,-53476.0,28,518.0
248,23,16.57250450827892,-53716.0,28,537.0
249,24,15.996456100018051,-53951.0,28,556.0
250,23,16.358022963821263,-54192.0,28,575.0
251,24,16.793150554691298,-54433.0,28,594.8
252,24,15.62576571764302,-54678.0,28,614.8
253,26,17.438155527552613,-54944.0,28,634.8
254,27,16.00052936429839,-55206.0,28,654.8
255,25,15.303296690710715,-55463.0,28,674.8
256,24,15.317765733800671,-55706.0,28,695.6
257,23,13.211807108804015,-55939.0,28,716.6
258,24,14.482015027524067,-56183.0,28,737.6
259,23,13.63875282518672,-56414.0,28,758.6
260,23,15.680394699289243,-56658.0,28,779.6
261,25,15.917613110713289,-56896.0,28,800.6
262,24,15.899476972048536,-57135.0,29,821.6
263,25,16.831149869724648,-57378.0,29,842.6
264,23,13.99945492163313,-57610.0,29,863.6
265,24,12.938888409096812,-57850.0,29,590.2
266,23,9.301096347574417,-58085.0,30,608.7
267,24,12.030693400844173,-58314.0,30,628.4
268,25,11.94279682549917,-58558.0,30,648.4
269,27,12.609102045902379,-58823.0,30,668.4
270,24,13.314596247510432,-59066.0,30,688.4
271,27,17.986609815016163,-59351.0,30,708.4
272,28,18.233364315089904,-59618.0,30,729.1
273,27,17.023319197252867,-59894.0,30,750.1
274,27,17.437849796202105,-60168.0,30,771.9
275,26,17.260928996668948,-60437.0,30,794.9
276,26,17.618990523084594,-60713.0,30,817.9
277,29,17.16123269889554,-60994.0,31,840.9
278,26,16.426178000426038,-61271.0,31,863.9
279,27,16.151759213755824,-61539.0,31,886.9
280,28,16.948434234481738,-61806.0,32,904.0
281,26,14.59672577735159,-62075.0,32,927.0
