step,cumulative_reward,queue_length
121500,-36123.0,5.302
122000,-37463.0,2.68
122500,-38963.0,3.0
123000,-41575.0,5.224
123500,-43257.0,3.364
124000,-2212.0,12.021739130434783
124500,-5289.0,6.154
125000,-6487.0,2.396
125500,-8050.0,3.126
126000,-10247.0,4.394
126500,-12199.0,3.904
127000,-13745.0,3.092
127500,-15626.0,3.762
128000,-19729.0,8.206
128500,-21427.0,3.396
129000,-22986.0,3.118
129500,-25409.0,4.846
130000,-28069.0,5.32
130500,-29480.0,2.822
131000,-30267.0,1.574
131500,-34831.0,9.128
132000,-36483.0,3.304
132500,-37968.0,2.97
133000,-40095.0,4.254
133500,-42436.0,4.682
134000,-43621.0,2.37
134500,-3674.0,10.03825136612022
135000,-5561.0,3.774
135500,-7124.0,3.126
136000,-8851.0,3.454
136500,-10952.0,4.202
137000,-12980.0,4.056
137500,-14072.0,2.184
138000,-17272.0,6.4
138500,-20347.0,6.15
139000,-21992.0,3.29
139500,-23532.0,3.08
140000,-26432.0,5.8
140500,-28780.0,4.696
141000,-29659.0,1.758
141500,-32117.0,4.916
142000,-35559.0,6.884
142500,-36916.0,2.714
143000,-38696.0,3.56
143500,-40980.0,4.568
144000,-43053.0,4.146
144500,-591.0,12.3125
145000,-5013.0,8.844
145500,-6144.0,2.262
146000,-7778.0,3.268
146500,-9675.0,3.794
147000,-11519.0,3.688
147500,-13405.0,3.772
148000,-14436.0,2.062
148500,-18929.0,8.986
149000,-21151.0,4.444
149500,-22591.0,2.88
150000,-24593.0,4.004
150500,-27291.0,5.396
151000,-29208.0,3.834
151500,-30023.0,1.63
152000,-33840.0,7.634
152500,-36307.0,4.934
153000,-37572.0,2.53
153500,-39273.0,3.402
154000,-41759.0,4.972
154500,-43349.0,3.18
155000,-2580.0,11.217391304347826
155500,-5299.0,5.438
156000,-6648.0,2.698
156500,-8142.0,2.988
157000,-10458.0,4.632
157500,-12489.0,4.062
158000,-13840.0,2.702
158500,-16048.0,4.416
159000,-19867.0,7.638
159500,-21571.0,3.408
160000,-23124.0,3.106
160500,-25685.0,5.122
161000,-28299.0,5.228
161500,-29571.0,2.544
162000,-30628.0,2.114
162500,-35015.0,8.774
163000,-36575.0,3.12
163500,-38152.0,3.154
164000,-40371.0,4.438
164500,-42616.0,4.49
165000,-43713.0,2.194
165500,-4096.0,9.941747572815533
166000,-5677.0,3.162
166500,-7354.0,3.354
167000,-9131.0,3.554
167500,-11034.0,3.806
168000,-13110.0,4.152
168500,-14164.0,2.108
169000,-17686.0,7.044
169500,-20577.0,5.782
170000,-22176.0,3.198
170500,-23724.0,3.096
171000,-26653.0,5.858
171500,-28872.0,4.438
172000,-29751.0,1.758
172500,-32577.0,5.652
173000,-35743.0,6.332
173500,-37032.0,2.578
174000,-38880.0,3.696
174500,-41157.0,4.554
175000,-43077.0,3.84
175500,-1207.0,12.840425531914894
176000,-5241.0,8.068
176500,-6250.0,2.018
177000,-7870.0,3.24
177500,-9859.0,3.978
178000,-11749.0,3.78
178500,-13497.0,3.496
179000,-14528.0,2.062
179500,-19330.0,9.604
180000,-21243.0,3.826
180500,-22716.0,2.946
181000,-24869.0,4.306
181500,-27521.0,5.304
182000,-29300.0,3.558
182500,-30115.0,1.63
183000,-34256.0,8.282
183500,-36315.0,4.118
184000,-37721.0,2.812
184500,-39555.0,3.668
185000,-41943.0,4.776
185500,-43441.0,2.996
186000,-2948.0,10.681159420289855
186500,-5381.0,4.866
187000,-6822.0,2.882
187500,-8234.0,2.824
188000,-10648.0,4.828
188500,-12787.0,4.278
189000,-13892.0,2.21
189500,-16462.0,5.14
190000,-20005.0,7.086
190500,-21669.0,3.328
191000,-23262.0,3.186
191500,-25905.0,5.286
192000,-28529.0,5.248
192500,-29621.0,2.184
193000,-31217.0,3.192
193500,-35199.0,7.964
194000,-36667.0,2.936
194500,-38336.0,3.338
195000,-40614.0,4.556
195500,-42834.0,4.44
196000,-43752.0,1.836
196500,-4470.0,9.759825327510917
197000,-5861.0,2.782
197500,-7577.0,3.432
198000,-9315.0,3.476
198500,-11213.0,3.796
199000,-13225.0,4.024
199500,-14256.0,2.062
200000,-18100.0,7.688
200500,-20768.0,5.336
201000,-22376.0,3.216
201500,-24053.0,3.354
202000,-26837.0,5.568
202500,-28964.0,4.254
203000,-29843.0,1.758
203500,-33037.0,6.388
204000,-35947.0,5.82
204500,-37254.0,2.614
205000,-38951.0,3.394
205500,-41357.0,4.812
206000,-43169.0,3.624
