ScenarioScale,ScenarioName,Strategy,AvgQueueLength,AvgWaitingTime,Throughput,TotalDelay,AvgDelay,LOS
0.5,Low,FT,11.81,31.73,262.8,11130.5,38.65,D
0.5,Low,AC,4.15,8.16,270.2,3460.6,12.02,B
0.5,Low,MP,3.93,7.45,271.6,3237.0,11.24,B
1.0,Medium,FT,22.6,31.31,520.2,22607.4,40.08,D
1.0,Medium,AC,9.32,9.16,536.0,8033.5,14.24,B
1.0,Medium,MP,8.2,7.41,537.8,6894.4,12.22,B
1.5,High,FT,31.57,33.32,775.2,37055.1,44.11,D
1.5,High,AC,19.0,13.75,798.0,17441.5,20.76,C
1.5,High,MP,15.03,9.05,799.0,13233.2,15.75,B
